Any calendari,Data,Localització
2018,01/01/2018,Catalunya
2018,06/01/2018,Catalunya
2018,30/03/2018,Catalunya
2018,02/04/2018,Catalunya
2018,01/05/2018,Catalunya
2018,15/08/2018,Catalunya
2018,11/09/2018,Catalunya
2018,12/10/2018,Catalunya
2018,01/11/2018,Catalunya
2018,06/12/2018,Catalunya
2018,08/12/2018,Catalunya
2018,25/12/2018,Catalunya
2018,26/12/2018,Catalunya
2017,01/05/2017,Catalunya
2017,01/11/2017,Catalunya
2017,14/04/2017,Catalunya
2017,17/04/2017,Catalunya
2017,06/01/2017,Catalunya
2017,06/12/2017,Catalunya
2017,24/06/2017,Catalunya
2017,08/12/2017,Catalunya
2017,15/08/2017,Catalunya
2017,11/09/2017,Catalunya
2017,12/10/2017,Catalunya
2017,25/12/2017,Catalunya
2017,26/12/2017,Catalunya
2016,01/01/2016,Catalunya
2016,01/11/2016,Catalunya
2016,25/03/2016,Catalunya
2016,28/03/2016,Catalunya
2016,16/05/2016,Catalunya
2016,06/01/2016,Catalunya
2016,06/12/2016,Catalunya
2016,24/06/2016,Catalunya
2016,08/12/2016,Catalunya
2016,15/08/2016,Catalunya
2016,12/10/2016,Catalunya
2016,26/12/2016,Catalunya
2015,01/01/2015,Catalunya
2015,01/05/2015,Catalunya
2015,04/03/2015,Catalunya
2015,06/01/2015,Catalunya
2015,06/04/2015,Catalunya
2015,24/06/2015,Catalunya
2015,08/12/2015,Catalunya
2015,15/08/2015,Catalunya
2015,11/09/2015,Catalunya
2015,12/10/2015,Catalunya
2015,25/12/2015,Catalunya
2015,26/12/2015,Catalunya
2014,01/01/2014,Catalunya
2014,01/05/2014,Catalunya
2014,01/11/2014,Catalunya
2014,18/04/2014,Catalunya
2014,21/04/2014,Catalunya
2014,06/01/2014,Catalunya
2014,06/12/2014,Catalunya
2014,24/06/2014,Catalunya
2014,08/12/2014,Catalunya
2014,15/08/2014,Catalunya
2014,11/09/2014,Catalunya
2014,25/12/2014,Catalunya
2014,26/12/2014,Catalunya
2013,01/01/2013,Catalunya
2013,01/04/2013,Catalunya
2013,01/05/2013,Catalunya
2013,01/11/2013,Catalunya
2013,29/03/2013,Catalunya
2013,06/12/2013,Catalunya
2013,24/06/2013,Catalunya
2013,15/08/2013,Catalunya
2013,11/09/2013,Catalunya
2013,12/10/2013,Catalunya
2013,25/12/2013,Catalunya
2013,26/12/2013,Catalunya
2012,01/05/2012,Catalunya
2012,01/11/2012,Catalunya
2012,06/01/2012,Catalunya
2012,06/04/2012,Catalunya
2012,06/12/2012,Catalunya
2012,08/12/2012,Catalunya
2012,15/08/2012,Catalunya
2012,09/04/2012,Catalunya
2012,11/09/2012,Catalunya
2012,12/10/2012,Catalunya
2012,25/12/2012,Catalunya
2012,26/12/2012,Catalunya
2011,01/01/2011,Catalunya
2011,01/11/2011,Catalunya
2011,22/04/2011,Catalunya
2011,25/04/2011,Catalunya
2011,06/01/2011,Catalunya
2011,06/12/2011,Catalunya
2011,13/06/2011,Catalunya
2011,24/06/2011,Catalunya
2011,08/12/2011,Catalunya
2011,15/08/2011,Catalunya
2011,12/10/2011,Catalunya
2011,26/12/2011,Catalunya
2019,01/11/2019,Catalunya
2019,06/12/2019,Catalunya
2019,12/10/2019,Catalunya
2019,22/04/2019,Catalunya
2019,26/12/2019,Catalunya
2019,11/09/2019,Catalunya
2019,01/05/2019,Catalunya
2019,24/06/2019,Catalunya
2019,01/01/2019,Catalunya
2019,19/04/2019,Catalunya
2019,15/08/2019,Catalunya
2019,25/12/2019,Catalunya
2020,01/01/2020,Catalunya
2020,10/04/2020,Catalunya
2020,01/05/2020,Catalunya
2020,15/08/2020,Catalunya
2020,12/10/2020,Catalunya
2020,08/12/2020,Catalunya
2020,25/12/2020,Catalunya
2020,06/01/2020,Catalunya
2020,13/04/2020,Catalunya
2020,24/06/2020,Catalunya
2020,11/09/2020,Catalunya
2020,26/12/2020,Catalunya
2021,01/01/2021,Catalunya
2021,06/01/2021,Catalunya
2021,02/04/2021,Catalunya
2021,05/04/2021,Catalunya
2021,01/05/2021,Catalunya
2021,24/06/2021,Catalunya
2021,11/09/2021,Catalunya
2021,12/10/2021,Catalunya
2021,01/11/2021,Catalunya
2021,06/12/2021,Catalunya
2021,08/12/2021,Catalunya
2021,25/12/2021,Catalunya
2022,01/01/2022,Catalunya
2022,15/04/2022,Catalunya
2022,15/08/2022,Catalunya
2022,12/10/2022,Catalunya
2022,01/11/2022,Catalunya
2022,06/12/2022,Catalunya
2022,08/12/2022,Catalunya
2022,06/01/2022,Catalunya
2022,18/04/2022,Catalunya
2022,06/06/2022,Catalunya
2022,24/06/2022,Catalunya
2022,26/12/2022,Catalunya
2023,07/04/2023,Catalunya
2023,01/05/2023,Catalunya
2023,15/08/2023,Catalunya
2023,12/10/2023,Catalunya
2023,01/11/2023,Catalunya
2023,06/12/2023,Catalunya
2023,08/12/2023,Catalunya
2023,25/12/2023,Catalunya
2023,06/01/2023,Catalunya
2023,10/04/2023,Catalunya
2023,24/06/2023,Catalunya
2023,11/09/2023,Catalunya
2023,26/12/2023,Catalunya
2024,01/01/2024,Catalunya
2024,29/03/2024,Catalunya
2024,01/05/2024,Catalunya
2024,15/08/2024,Catalunya
2024,12/10/2024,Catalunya
2024,01/11/2024,Catalunya
2024,06/12/2024,Catalunya
2024,25/12/2024,Catalunya
2024,06/01/2024,Catalunya
2024,01/04/2024,Catalunya
2024,24/06/2024,Catalunya
2024,11/09/2024,Catalunya
2024,26/12/2024,Catalunya
2025,01/01/2025,Catalunya
2025,18/04/2025,Catalunya
2025,01/05/2025,Catalunya
2025,15/08/2025,Catalunya
2025,01/11/2025,Catalunya
2025,06/12/2025,Catalunya
2025,08/12/2025,Catalunya
2025,25/12/2025,Catalunya
2025,06/01/2025,Catalunya
2025,21/04/2025,Catalunya
2025,24/06/2025,Catalunya
2025,11/09/2025,Catalunya
2025,26/12/2025,Catalunya
2026,01/01/2026,Catalunya
2026,03/04/2026,Catalunya
2026,01/05/2026,Catalunya
2026,15/08/2026,Catalunya
2026,12/10/2026,Catalunya
2026,08/12/2026,Catalunya
2026,25/12/2026,Catalunya
2026,06/01/2026,Catalunya
2026,06/04/2026,Catalunya
2026,24/06/2026,Catalunya
2026,11/09/2026,Catalunya
2026,26/12/2026,Catalunya
2023,10/04/2023,C. A. de Catalunya
2023,12/10/2023,
2024,01/01/2024,
2024,12/10/2024,
2026,11/09/2026,C. A. de Catalunya
2025,11/09/2025,C. A. de Catalunya
2024,24/06/2024,C. A. de Catalunya
2023,26/12/2023,C. A. de Catalunya
2025,18/04/2025,
2025,08/12/2025,
2025,25/12/2025,
