L'Hospitalet de Llobregat,Barcelona Sants,Barcelona Plaça Catalunya,Barcelona Arc de Triomf,Barcelona El Clot Aragó,St. Adrià de Besòs,Badalona,Montgat,Montgat Nord,El Masnou,Ocata,Premià de Mar,Vilassar de Mar,Cabrera de Mar-Vilassar de Mar,Mataró,St. Andreu de Llavaneres,Caldes d'Estrac,Arenys de Mar,Canet de Mar,St. Pol de Mar,Calella,Pineda de Mar,Santa Susanna,Malgrat de Mar,Blanes,Tordera,Maçanet-Massanes,Day_Type
5.48,5.55,6.00,6.03,6.07,6.16,6.20,6.22,6.24,6.27,6.29,6.33,6.36,6.38,6.43,6.47,6.50,6.53,6.57,7.03,7.08,7.11,7.14,7.18,7.23,7.28,7.37,Workdays
5.57,6.04,6.09,6.12,6.16,6.26,6.30,6.32,6.34,6.37,6.39,6.43,6.46,6.48,6.53,6.57,7.00,7.03,,,,,,,,,,Workdays
6.09,6.16,6.21,6.24,6.28,6.36,6.40,6.42,6.44,6.47,6.49,6.53,6.56,6.58,7.03,7.07,7.10,7.14,,,,,,,,,,Workdays
6.18,6.25,6.30,6.33,6.37,6.46,6.50,6.52,6.54,6.57,6.59,7.03,7.06,7.08,7.13,7.17,7.20,7.23,7.27,7.33,7.38,7.41,7.44,7.48,7.53,,,Workdays
6.27,6.34,6.39,6.42,6.46,6.56,7.00,7.02,7.04,7.07,7.09,7.13,7.16,7.18,7.23,7.27,7.30,7.33,,,,,,,,,,Workdays
6.39,6.46,6.51,6.54,6.58,7.06,7.10,7.12,7.14,7.17,7.19,7.23,7.26,7.28,7.33,7.37,7.40,7.43,7.47,7.52,7.56,,,,,,,Workdays
6.48,6.55,7.00,7.03,7.07,7.16,7.20,7.22,7.24,7.27,7.29,7.33,7.36,7.38,7.43,7.47,7.50,7.53,7.57,8.03,8.08,8.11,8.14,8.18,8.23,8.28,8.37,Workdays
6.57,7.04,7.09,7.12,7.16,7.26,7.30,7.32,7.34,7.37,7.39,7.43,7.46,7.48,7.53,7.57,8.00,8.03,,,,,,,,,,Workdays
7.09,7.16,7.21,7.24,7.28,7.36,7.40,7.42,7.44,7.47,7.49,7.53,7.56,7.58,8.03,8.07,8.10,8.13,8.17,8.22,8.26,,,,,,,Workdays
7.18,7.25,7.30,7.33,7.37,7.46,7.50,7.52,7.54,7.57,7.59,8.03,8.06,8.08,8.13,8.17,8.20,8.23,8.27,8.33,8.38,8.41,8.44,8.48,8.53,,,Workdays
7.27,7.34,7.39,7.42,7.46,7.56,8.00,8.02,8.04,8.07,8.09,8.13,8.16,8.18,8.23,8.27,8.30,8.33,,,,,,,,,,Workdays
7.39,7.46,7.51,7.54,7.58,8.06,8.10,8.12,8.14,8.17,8.19,8.23,8.26,8.28,8.33,8.37,8.40,8.43,8.47,8.52,8.56,,,,,,,Workdays
7.48,7.55,8.00,8.03,8.07,8.16,8.20,8.22,8.24,8.27,8.29,8.33,8.36,8.38,8.43,8.47,8.50,8.53,8.57,9.03,9.08,9.11,9.14,9.18,9.23,9.28,9.37,Workdays
7.57,8.04,8.09,8.12,8.16,8.26,8.30,8.32,8.34,8.37,8.39,8.43,8.46,8.48,8.53,8.57,9.00,9.03,,,,,,,,,,Workdays
8.09,8.16,8.21,8.24,8.28,8.36,8.40,8.42,8.44,8.47,8.49,8.53,8.56,8.58,9.03,9.07,9.10,9.13,9.17,9.22,9.26,,,,,,,Workdays
8.18,8.25,8.30,8.33,8.37,8.46,8.50,8.52,8.54,8.57,8.59,9.03,9.06,9.08,9.13,9.17,9.20,9.23,9.27,9.33,9.38,9.41,9.44,9.48,9.53,,,Workdays
8.27,8.34,8.39,8.42,8.46,8.56,9.00,9.02,9.04,9.07,9.09,9.13,9.16,9.18,9.23,9.27,9.30,9.33,,,,,,,,,,Workdays
8.39,8.46,8.51,8.54,8.58,9.06,9.10,9.12,9.14,9.17,9.19,9.23,9.26,9.28,9.33,9.37,9.40,9.43,,,,,,,,,,Workdays
8.48,8.55,9.00,9.03,9.07,9.16,9.20,9.22,9.24,9.27,9.29,9.33,9.36,9.38,9.43,9.47,9.50,9.53,9.57,10.03,10.08,10.11,10.14,10.18,10.23,10.28,10.37,Workdays
8.57,9.04,9.09,9.12,9.16,9.26,9.30,9.32,9.34,9.37,9.39,9.43,9.46,9.48,9.54,,,,,,,,,,,,,Workdays
9.09,9.16,9.21,9.24,9.28,9.36,9.40,9.42,9.44,9.47,9.49,9.53,9.56,9.58,10.04,,,,,,,,,,,,,Workdays
9.18,9.25,9.30,9.33,9.37,9.46,9.50,9.52,9.54,9.57,9.59,10.03,10.06,10.08,10.13,10.17,10.20,10.23,10.27,10.33,10.38,10.41,10.44,10.48,10.52,,,Workdays
9.27,9.34,9.39,9.42,9.46,9.56,10.00,10.02,10.04,10.07,10.09,10.13,10.16,10.18,10.24,,,,,,,,,,,,,Workdays
9.39,9.46,9.51,9.54,9.58,10.06,10.10,10.12,10.14,10.17,10.19,10.23,10.26,10.28,10.34,,,,,,,,,,,,,Workdays
9.48,9.55,10.00,10.03,10.07,10.16,10.20,10.22,10.24,10.27,10.29,10.33,10.36,10.38,10.43,10.47,10.50,10.53,10.57,11.03,11.08,11.11,11.14,11.18,11.23,11.28,11.37,Workdays
9.57,10.04,10.09,10.12,10.16,10.26,10.30,10.32,10.34,10.37,10.39,10.43,10.46,10.48,10.54,,,,,,,,,,,,,Workdays
10.09,10.16,10.21,10.24,10.28,10.36,10.40,10.42,10.44,10.47,10.49,10.53,10.56,10.58,11.04,,,,,,,,,,,,,Workdays
10.18,10.25,10.30,10.33,10.37,10.46,10.50,10.52,10.54,10.57,10.59,11.03,11.06,11.08,11.13,11.17,11.20,11.23,11.27,11.33,11.38,11.41,11.44,11.48,11.52,,,Workdays
10.33,10.40,10.45,10.48,10.52,11.01,11.05,11.07,11.09,11.12,11.14,11.18,11.21,11.23,11.29,,,,,,,,,,,,,Workdays
10.48,10.55,11.00,11.03,11.07,11.16,11.20,11.22,11.24,11.27,11.29,11.33,11.36,11.38,11.43,11.47,11.50,11.53,11.57,12.03,12.08,12.11,12.14,12.18,12.23,12.28,12.37,Workdays
11.03,11.10,11.15,11.18,11.22,11.31,11.35,11.37,11.39,11.42,11.44,11.48,11.51,11.53,11.59,,,,,,,,,,,,,Workdays
11.18,11.25,11.30,11.33,11.37,11.46,11.50,11.52,11.54,11.57,11.59,12.03,12.06,12.08,12.13,12.17,12.20,12.23,12.27,12.33,12.38,12.41,12.44,12.48,12.52,,,Workdays
11.33,11.40,11.45,11.48,11.52,12.01,12.05,12.07,12.09,12.12,12.14,12.18,12.21,12.23,12.29,,,,,,,,,,,,,Workdays
11.48,11.55,12.00,12.03,12.07,12.16,12.20,12.22,12.24,12.27,12.29,12.33,12.36,12.38,12.43,12.47,12.50,12.53,12.57,13.03,13.08,13.11,13.14,13.18,13.23,13.28,13.37,Workdays
12.03,12.10,12.15,12.18,12.22,12.31,12.35,12.37,12.39,12.42,12.44,12.48,12.51,12.53,12.59,,,,,,,,,,,,,Workdays
12.18,12.25,12.30,12.33,12.37,12.46,12.50,12.52,12.54,12.57,12.59,13.03,13.06,13.08,13.13,13.17,13.20,13.23,13.27,13.33,13.38,13.41,13.44,13.48,13.52,,,Workdays
12.33,12.40,12.45,12.48,12.52,13.01,13.05,13.07,13.09,13.12,13.14,13.18,13.21,13.23,13.29,,,,,,,,,,,,,Workdays
12.48,12.55,13.00,13.03,13.07,13.16,13.20,13.22,13.24,13.27,13.29,13.33,13.36,13.38,13.43,13.47,13.50,13.53,13.57,14.03,14.08,14.11,14.14,14.18,14.23,14.28,14.37,Workdays
13.03,13.10,13.15,13.18,13.22,13.31,13.35,13.37,13.39,13.42,13.44,13.48,13.51,13.53,13.59,,,,,,,,,,,,,Workdays
13.18,13.25,13.30,13.33,13.37,13.46,13.50,13.52,13.54,13.57,13.59,14.03,14.06,14.08,14.13,14.17,14.20,14.23,14.27,14.33,14.38,14.41,14.44,14.48,14.52,,,Workdays
13.27,13.34,13.39,13.42,13.46,13.56,14.00,14.02,14.04,14.07,14.09,14.13,14.16,14.18,14.24,,,,,,,,,,,,,Workdays
13.39,13.46,13.51,13.54,13.58,14.06,14.10,14.12,14.14,14.17,14.19,14.23,14.26,14.28,14.33,14.37,14.40,14.43,14.47,14.52,14.56,,,,,,,Workdays
13.48,13.55,14.00,14.03,14.07,14.16,14.20,14.22,14.24,14.27,14.29,14.33,14.36,14.38,14.43,14.47,14.50,14.53,14.57,15.03,15.08,15.11,15.14,15.18,15.23,15.28,15.37,Workdays
13.57,14.04,14.09,14.12,14.16,14.26,14.30,14.32,14.34,14.37,14.39,14.43,14.46,14.48,14.54,,,,,,,,,,,,,Workdays
14.09,14.16,14.21,14.24,14.28,14.36,14.40,14.42,14.44,14.47,14.49,14.53,14.56,14.58,15.03,15.07,15.10,15.13,15.17,15.22,15.26,,,,,,,Workdays
