Maçanet-Massanes,Tordera,Blanes,Malgrat de Mar,Santa Susanna,Pineda de Mar,Calella,St. Pol de Mar,Canet de Mar,Arenys de Mar,Caldes d'Estrac,St. Andreu de Llavaneres,Mataró,Cabrera de Mar-Vilassar de Mar,Vilassar de Mar,Premià de Mar,Ocata,El Masnou,Montgat Nord,Montgat,Badalona,St. Adrià de Besòs,Barcelona El Clot Aragó,Barcelona Arc de Triomf,Barcelona Plaça Catalunya,Barcelona Sants,L'Hospitalet de Llobregat,Day_Type
,,,,,,,,,,,5.01,5.05,5.07,5.11,5.14,5.17,5.19,5.21,5.24,5.27,5.37,5.41,5.44,5.49,5.56,,Workdays
,,,,,5.00,5.05,5.10,5.13,5.15,5.18,5.23,5.27,5.29,5.33,5.36,5.39,5.41,5.43,5.46,5.49,5.58,6.02,6.05,6.10,6.17,,Workdays
,,,,,5.23,5.29,5.33,5.37,5.39,5.42,5.47,5.51,5.53,5.57,6.00,6.03,6.05,6.07,6.10,6.13,6.22,6.26,6.29,6.34,6.41,,Workdays
,,,,,,,,,,,6.01,6.05,6.07,6.11,6.14,6.17,6.19,6.21,6.24,6.27,6.37,6.41,6.44,6.49,6.56,,Workdays
,,,,,5.52,5.58,6.02,6.06,6.08,6.11,6.16,6.20,6.22,6.26,6.29,6.32,6.34,6.36,6.39,6.42,6.52,6.56,6.59,7.04,7.11,,Workdays
,,,,,,,,,,,6.31,6.35,6.37,6.41,6.44,6.47,6.49,6.51,6.54,6.57,7.07,7.11,7.14,7.19,7.26,,Workdays
,6.03,6.07,6.10,6.13,6.17,6.22,6.27,6.31,6.33,6.36,6.41,6.45,6.47,6.51,6.54,6.57,6.59,7.01,7.04,7.07,7.16,7.20,7.23,7.28,7.35,,Workdays
,,,,,,,,6.41,6.43,6.46,6.51,6.55,6.57,7.01,7.04,7.07,7.09,7.11,7.14,7.17,7.28,7.32,7.35,7.40,7.47,,Workdays
5.50,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,Workdays
,6.23,6.27,6.30,6.33,6.38,6.43,6.47,6.51,6.53,6.56,7.01,7.05,7.07,7.11,7.14,7.17,7.19,7.21,7.24,7.27,7.37,7.41,7.44,7.49,7.56,,Workdays
,,,,,,,,6.59,7.01,7.04,7.09,7.13,7.15,7.19,7.22,7.25,7.27,7.29,7.32,7.35,7.46,7.50,7.53,7.58,8.05,,Workdays
,,,,,,,,7.06,7.08,7.11,7.16,7.20,7.22,7.26,7.29,7.32,7.34,7.36,7.39,7.42,7.52,7.56,7.59,8.04,8.11,,Workdays
,6.43,6.48,6.51,6.54,6.58,7.03,7.08,7.13,7.15,7.18,7.23,7.27,7.29,7.33,7.36,7.39,7.41,7.43,7.46,7.49,7.58,8.02,8.05,8.10,8.17,,Workdays
6.46,6.53,6.57,7.00,7.03,7.08,7.13,7.17,7.21,7.23,7.26,7.31,7.35,7.37,7.41,7.44,7.47,7.49,7.51,7.54,7.57,8.07,8.11,8.14,8.19,8.26,,Workdays
,,,,,,,,7.29,7.31,7.34,7.39,7.43,7.45,7.49,7.52,7.55,7.57,7.59,8.02,8.05,8.16,8.20,8.23,8.28,8.35,,Workdays
,,,,,,,,7.36,7.38,7.41,7.46,7.50,7.52,7.56,7.59,8.02,8.04,8.06,8.09,8.12,8.22,8.26,8.29,8.34,8.41,,Workdays
,,,,,,,,,,,7.53,7.57,7.59,8.03,8.06,8.09,8.11,8.13,8.16,8.19,8.28,8.32,8.35,8.40,8.47,,Workdays
7.16,7.23,7.27,7.30,7.33,7.38,7.43,7.47,7.51,7.53,7.56,8.01,8.05,8.07,8.11,8.14,8.17,8.19,8.21,8.24,8.27,8.37,8.41,8.44,8.49,8.56,,Workdays
,,,,,,,,7.59,8.01,8.04,8.09,8.13,8.15,8.19,8.22,8.25,8.27,8.29,8.32,8.35,8.46,8.50,8.53,8.58,9.05,,Workdays
,,,,,,,,8.06,8.08,8.11,8.16,8.20,8.22,8.26,8.29,8.32,8.34,8.36,8.39,8.42,8.52,8.56,8.59,9.04,9.11,,Workdays
,,,,,,,,,,,8.23,8.27,8.29,8.33,8.36,8.39,8.41,8.43,8.46,8.49,8.58,9.02,9.05,9.10,9.17,,Workdays
,7.53,7.57,8.00,8.03,8.08,8.13,8.17,8.21,8.23,8.26,8.31,8.35,8.37,8.41,8.44,8.47,8.49,8.51,8.54,8.57,9.07,9.11,9.14,9.19,9.26,,Workdays
,,,,,,,,8.31,8.33,8.36,8.41,8.45,8.47,8.51,8.54,8.57,8.59,9.01,9.04,9.07,9.16,9.20,9.23,9.28,9.35,,Workdays
,,,,,8.28,8.33,8.38,8.41,8.43,8.46,8.51,8.55,8.57,9.01,9.04,9.07,9.09,9.11,9.14,9.17,9.28,9.32,9.35,9.40,9.47,,Workdays
8.16,8.23,8.27,8.30,8.33,8.38,8.43,8.47,8.51,8.53,8.56,9.01,9.05,9.07,9.11,9.14,9.17,9.19,9.21,9.24,9.27,9.37,9.41,9.44,9.49,9.56,,Workdays
,,,,,,,,9.01,9.03,9.06,9.11,9.15,9.17,9.21,9.24,9.27,9.29,9.31,9.34,9.37,9.46,9.50,9.53,9.58,10.05,,Workdays
,,,,,8.58,9.03,9.08,9.11,9.13,9.16,9.21,9.25,9.27,9.31,9.34,9.37,9.39,9.41,9.44,9.47,9.58,10.02,10.05,10.10,10.17,,Workdays
,8.53,8.57,9.00,9.03,9.08,9.13,9.17,9.21,9.23,9.26,9.31,9.35,9.37,9.41,9.44,9.47,9.49,9.51,9.54,9.57,10.07,10.11,10.14,10.19,10.26,,Workdays
,,,,,9.16,9.21,9.27,9.35,9.38,9.41,9.46,9.50,9.52,9.56,9.59,10.02,10.04,10.06,10.09,10.12,10.22,10.26,10.29,10.34,10.41,,Workdays
9.16,9.23,9.27,9.30,9.33,9.38,9.43,9.47,9.51,9.53,9.56,10.01,10.05,10.07,10.11,10.14,10.17,10.19,10.21,10.24,10.27,10.37,10.41,10.44,10.49,10.56,,Workdays
