Maçanet-Massanes,Hostalric,Riells i Viabrea-Breda,Gualba,Sant Celoni,Palautordera,Llinars del Vallès,Cardedeu,Les Franqueses-Granollers Nord,Granollers Centre,Montmeló,Mollet-Sant Fost,La Llagosta,Montcada i Reixac,Barcelona-Sant Andreu,Barcelona-El Clot,Barcelona-Estació de França,Barcelona-Passeig de Gràcia,Barcelona Sants,Bellvitge | Gornal,El Prat de Llobregat,Aeroport,Viladecans,Gavà,Castelldefels,Platja de Castelldefels,Garraf,Sitges,Vilanova i la Geltrú,Cubelles,Cunit,Segur de Calafell,Calafell,Sant Vicenç de Calders,Day_Type
,,,,,,,,,,,,,,,,4.57,5.08,5.13,5.19,5.24,5.30,,,,,,,,,,,,,Workdays
,,,,,,,,,4.59,5.04,5.08,5.11,5.14,5.21,5.26,–,5.32,5.39,5.45,5.50,5.56,,,,,,,,,,,,,Workdays
,,,,,,,,,,,,,,,,5.27,5.38,5.44,5.50,5.56,–,6.01,6.04,6.08,6.11,6.16,6.26,6.33,6.38,6.42,6.45,6.48,,Workdays
,,,,,,,,,,,,,,,,5.42,5.53,5.59,6.05,6.10,–,6.15,6.18,6.22,6.25,6.30,,,,,,,,Workdays
,,,,,,,,,5.29,5.34,5.38,5.41,5.44,5.51,5.56,–,6.02,6.09,6.15,6.20,6.26,,,,,,,,,,,,,Workdays
,,,,,,,,,,,,,,,,5.57,6.08,6.14,6.20,6.26,–,6.31,6.34,6.38,6.41,6.46,6.56,7.03,7.08,7.12,7.15,7.18,,Workdays
,,,,,,,,,,,,,,,,6.12,6.23,6.29,6.35,6.40,–,6.45,6.48,6.52,6.55,7.00,,,,,,,,Workdays
,,,,5.37,5.41,5.46,5.50,5.55,5.59,6.04,6.08,6.11,6.14,6.21,6.26,–,6.32,6.39,6.45,6.50,6.56,,,,,,,,,,,,,Workdays
,,,,,,,,,,,,,,,,6.27,6.38,6.44,6.50,6.56,–,7.01,7.04,7.08,7.11,7.16,7.26,7.33,7.38,7.42,7.45,7.48,,Workdays
,,,,,,,,,6.14,6.19,6.23,6.26,6.29,6.36,6.41,–,6.47,6.53,6.59,7.04,–,7.09,7.12,7.15,,,,,,,,,,Workdays
,,,,,,,,,,,,,,,,6.42,6.53,6.59,7.05,7.10,–,7.15,7.18,7.22,7.25,7.30,,,,,,,,Workdays
,,,,6.07,6.11,6.16,6.20,6.25,6.29,6.34,6.38,6.41,6.44,6.51,6.56,–,7.02,7.09,7.15,7.20,7.26,,,,,,,,,,,,,Workdays
,,,,,,,,,,,,,,,,6.57,7.08,7.14,7.20,7.26,–,7.31,7.34,7.38,7.41,7.46,7.56,8.03,8.08,8.12,8.15,8.18,,Workdays
,,,,6.22,6.26,6.31,6.35,6.40,6.44,6.49,6.53,6.56,6.59,7.06,7.11,–,7.17,7.23,7.29,7.34,–,7.39,7.42,7.45,,,,,,,,,,Workdays
,,,,,,,,,,,,,,,,7.12,7.23,7.29,7.35,7.40,–,7.45,7.48,7.52,7.55,8.00,,,,,,,,Workdays
6.19,6.24,6.29,6.32,6.37,6.41,6.46,6.50,6.55,6.59,7.04,7.08,7.11,7.14,7.21,7.26,–,7.32,7.39,7.45,7.50,7.56,,,,,,,,,,,,,Workdays
,,,,,,,,,,,,,,,,7.27,7.38,7.44,7.50,7.56,–,8.01,8.04,8.08,8.11,8.16,8.26,8.33,8.38,8.42,8.45,8.48,,Workdays
,,,,6.52,6.56,7.01,7.05,7.10,7.14,7.19,7.23,7.26,7.29,7.36,7.41,–,7.47,7.53,7.59,8.04,–,8.09,8.12,8.15,,,,,,,,,,Workdays
,,,,,,,,,,,,,,,,7.42,7.53,7.59,8.05,8.10,–,8.15,8.18,8.22,8.25,8.30,,,,,,,,Workdays
