Sant Vicenç de Calders,Calafell,Segur de Calafell,Cunit,Cubelles,Vilanova i la Geltrú,Sitges,Garraf,Platja de Castelldefels,Castelldefels,Gavà,Viladecans,Aeroport,El Prat de Llobregat,Bellvitge | Gornal,Barcelona Sants,Barcelona-Passeig de Gràcia,Barcelona-Estació de França,Barcelona-El Clot,Barcelona-Sant Andreu,Montcada i Reixac,La Llagosta,Mollet-Sant Fost,Montmeló,Granollers Centre,Les Franqueses-Granollers Nord,Cardedeu,Llinars del Vallès,Palautordera,Sant Celoni,Gualba,Riells i Viabrea-Breda,Hostalric,Maçanet-Massanes,Day_Type
,,,,,4.45,4.51,4.59,5.04,5.08,5.12,5.14,–,5.19,5.23,5.30,5.35,–,5.39,5.44,5.50,5.53,5.58,6.01,6.09,6.12,6.17,6.21,6.26,6.30,6.34,6.38,6.43,6.49,Workdays
,,,,,,,,,,,,5.40,5.46,5.51,5.59,6.04,6.14,,,,,,,,,,,,,,,,,Workdays
,,,,,5.14,5.21,5.29,5.34,5.38,5.42,5.44,–,5.49,5.54,6.02,6.07,–,6.11,6.16,6.22,6.25,6.29,6.32,6.38,6.41,6.46,6.50,6.55,6.59,,,,,Workdays
,,,,,,,,,,,,,,,6.16,6.21,–,6.25,6.29,–,–,–,–,6.48,–,–,–,–,7.04,7.08,7.11,7.16,7.21,Workdays
5.14,5.19,5.22,5.25,5.29,5.35,5.42,5.52,5.56,6.00,6.04,6.06,–,6.13,6.18,6.26,6.31,6.41,,,,,,,,,,,,,,,,,Workdays
,,,,,,,,,,,,6.08,6.16,6.21,6.31,6.36,–,6.40,6.45,6.51,6.54,6.58,7.01,7.07,7.10,7.15,7.19,7.24,7.28,,,,,Workdays
5.36,5.41,5.44,5.47,5.51,5.57,6.04,6.14,6.18,6.22,6.26,6.28,–,6.35,6.40,6.48,6.53,7.03,,,,,,,,,,,,,,,,,Workdays
,,,,,,,,,,,,6.38,6.46,6.51,7.01,7.06,–,7.10,7.15,7.21,7.24,7.28,7.31,7.37,7.40,7.45,7.49,7.54,7.58,,,,,Workdays
6.00,6.05,6.08,6.11,6.15,6.21,6.28,6.38,6.42,6.46,6.50,6.52,–,6.59,7.04,7.12,7.17,7.27,,,,,,,,,,,,,,,,,Workdays
,,,,,,,,,,,,,,,7.16,7.21,–,7.25,7.30,–,–,–,–,7.53,–,–,–,–,8.14,8.18,8.21,8.26,8.31,Workdays
,,,,,,,6.50,6.55,6.59,7.03,7.05,–,7.10,7.15,7.24,7.29,7.39,,,,,,,,,,,,,,,,,Workdays
,,,,,,,,,,,,7.08,7.16,7.21,7.31,7.36,–,7.40,7.45,7.51,7.54,7.58,8.01,8.07,8.10,8.15,8.19,8.24,8.28,,,,,Workdays
6.30,6.35,6.38,6.41,6.45,6.51,6.58,7.08,7.12,7.16,7.20,7.22,–,7.29,7.34,7.42,7.47,7.57,,,,,,,,,,,,,,,,,Workdays
,,,,,,,,,7.25,7.29,7.31,–,7.36,7.41,7.50,7.55,–,8.00,8.05,8.11,8.14,8.18,8.21,8.27,,,,,,,,,,Workdays
,,,,,,,7.23,7.28,7.32,7.36,7.38,–,7.43,7.48,7.57,8.02,8.12,,,,,,,,,,,,,,,,,Workdays
,,,,,,,,,,,,7.38,7.46,7.51,8.01,8.06,–,8.10,8.15,8.21,8.24,8.28,8.31,8.37,8.40,8.45,8.49,8.54,8.58,,,,,Workdays
7.00,7.05,7.08,7.11,7.15,7.21,7.28,7.38,7.42,7.46,7.50,7.52,–,7.59,8.04,8.12,8.17,8.27,,,,,,,,,,,,,,,,,Workdays
