_id,CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Túneles lavado
1,72400,AEROPORT,41.303873600000002852539182640612125396728515625,2.07247339999999979909262037836015224456787109375,"ZONA AEROPUERTO, S/N",8820,"Prat de Llobregat, El",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72400.pdf,""
2,78804,ARC DE TRIOMF,41.3924353000000024849214241839945316314697265625,2.18041630000000008493543646181933581829071044921875,"PASSEIG SANT JOAN, S/N",8010,Barcelona,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78804.pdf,""
3,79600,ARENYS DE MAR,41.57768469999999894071152084507048130035400390625,2.549203599999999791947402627556584775447845458984375,"PLAYA CASSA, S/N",8350,Arenys de Mar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79600.pdf,""
4,79404,BADALONA,41.44584069999999798028511577285826206207275390625,2.248890700000000020253310140105895698070526123046875,"PLAÇA ROCAI PI, 1",8911,Badalona,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79404.pdf,""
5,77106,BALENYA-ELS HOSTALETS,41.814486299999998664134182035923004150390625,2.23297949999999989501020536408759653568267822265625,"CALLE ESTACION DE FERROCARRIL, S/N",8554,Balenyà,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77106.pdf,""
6,77107,BALENYA-TONA-SEVA,41.8417065000000008012648322619497776031494140625,2.247358399999999978291498337057419121265411376953125,"CALLE BISBE PERELLO, S/N",8554,Seva,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77107.pdf,""
7,78705,BARBERA DEL VALLES,41.51314450000000277896106126718223094940185546875,2.118354200000000187031901077716611325740814208984375,"PLAZA DE ESPANYA, S/N",8210,Barberà del Vallès,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78705.pdf,""
8,79009,BARCELONA-CLOT-ARAGO,41.409599200000002383603714406490325927734375,2.190525699999999797995542394346557557582855224609375,"PLAZA CANONGE RODO, S/N",8026,Barcelona,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79009.pdf,""
9,79400,BARCELONA-ESTACIO DE FRANÇA,41.38443240000000145073499879799783229827880859375,2.1853104999999999336068867705762386322021484375,"AVENIDA MARQUES DE ARGENTERA, S/N",8003,Barcelona,Barcelona,"",""
10,71802,BARCELONA-PASSEIG DE GRACIA,41.39233800000000229601937462575733661651611328125,2.16465599999999991354115991271100938320159912109375,"PASSEIG DE GRACIA - ESQUINA ARAGO, S/N",8007,Barcelona,Barcelona,"",""
11,79004,BARCELONA-SANT ANDREU COMTAL,41.43567300000000130921762320213019847869873046875,2.193403500000000061476157497963868081569671630859375,"PLAÇA DE L'ESTACIO, S/N",8030,Barcelona,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79004.pdf,""
12,71801,BARCELONA-SANTS,41.379334999999997535269358195364475250244140625,2.139477299999999804214212417718954384326934814453125,"PLAÇA DELS PAISOS CATALANS, 1 - 7",8014,Barcelona,Barcelona,"",""
13,71708,BELLVITGE,41.3555640000000011013980838470160961151123046875,2.115248699999999981713472152478061616420745849609375,"AVENIDA VILANOVA, S/N",8901,"Hospitalet de Llobregat, L'",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion71708.pdf,""
14,79606,BLANES,41.67375750000000067529981606639921665191650390625,2.769047000000000036123992686043493449687957763671875,"CALLE ESTACIO FERROCARRIL, S/N",17300,Blanes,Girona,https://data.renfe.com/files/estaciones/FichaEstacion79606.pdf,""
15,77112,BORGONYA,42.06464749999999952478901832364499568939208984375,2.24190779999999989513526088558137416839599609375,"CARRETERA BV-5626 - CARRER BORGONYA, S/N",8571,Sant Vicenç de Torelló,Barcelona,"",""
16,79412,CABRERA DE MAR-VILASSAR DE MAR,41.50686400000000020327206584624946117401123046875,2.401343300000000180460801857407204806804656982421875,"AVENIDA DEL MARESME, 1",8349,Vilassar de Mar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79412.pdf,""
17,71601,CALAFELL,41.18959980000000342670318786986172199249267578125,1.5745237999999999178868392846197821199893951416015625,"CALLE ESTACION FERROCARRIL, S/N",43820,Calafell,Tarragona,https://data.renfe.com/files/estaciones/FichaEstacion71601.pdf,""
18,79502,CALDES D'ESTRAC,41.56852239999999909514372120611369609832763671875,2.52715289999999992431867212872020900249481201171875,"CALLE EL CALLAO, S/N",8393,Caldes d'Estrac,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79502.pdf,""
19,79603,CALELLA,41.61473869999999664059942006133496761322021484375,2.66562140000000002970637069665826857089996337890625,"CALLE ASELMO CLAVE, S/N",8370,Calella,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79603.pdf,""
20,77301,CAMPDEVANOL,42.2216130999999990081050782464444637298583984375,2.1657571999999998269004208850674331188201904296875,"PLAÇA ESTACIO FERROCARRIL, 1",17530,Campdevànol,Girona,"",""
21,79601,CANET DE MAR,41.586560800000000881482264958322048187255859375,2.58110470000000002954720912384800612926483154296875,"CALLE DEL MAR, 11",8360,Canet de Mar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79601.pdf,""
